# front
-1, 0, -1.5, #f00, 0, 0, 1
-1, 2, -1.5, #f00, 0, 0, 1
1, 0, -1.5, #f00, 0, 0, 1
-1, 2, -1.5, #f00, 0, 0, 1
1, 2, -1.5, #f00, 0, 0, 1
1, 0, -1.5, #f00, 0, 0, 1

# back
-1, 0, -3.5, #ff0, 0, 0, -1
-1, 2, -3.5, #ff0, 0, 0, -1
1, 0, -3.5, #ff0, 0, 0, -1
-1, 2, -3.5, #ff0, 0, 0, -1
1, 2, -3.5, #ff0, 0, 0, -1
1, 0, -3.5, #ff0, 0, 0, -1

# right
1, 0, -1.5, #0f0, 1, 0, 0
1, 2, -1.5, #0f0, 1, 0, 0
1, 0, -3.5, #0f0, 1, 0, 0
1, 2, -1.5, #0f0, 1, 0, 0
1, 2, -3.5, #0f0, 1, 0, 0
1, 0, -3.5, #0f0, 1, 0, 0

# left
-1, 0, -1.5, #0f0, -1, 0, 0
-1, 2, -1.5, #0f0, -1, 0, 0
-1, 0, -3.5, #0f0, -1, 0, 0
-1, 2, -1.5, #0f0, -1, 0, 0
-1, 2, -3.5, #0f0, -1, 0, 0
-1, 0, -3.5, #0f0, -1, 0, 0

# top
1, 2, -1.5, #00f, 0, 1, 0
-1, 2, -1.5, #00f, 0, 1, 0
1, 2, -3.5, #00f, 0, 1, 0
-1, 2, -1.5, #00f, 0, 1, 0
-1, 2, -3.5, #00f, 0, 1, 0
1, 2, -3.5, #00f, 0, 1, 0

#bottom
1, 0, -1.5, #00f, 0, -1, 0
-1, , -1.5, #00f, 0, -1, 0
1, 0, -3.5, #00f, 0, -1, 0
-1, 0, -1.5, #00f, 0, -1, 0
-1, 0, -3.5, #00f, 0, -1, 0
1, 0, -3.5, #00f, 0, -1, 0

!position
2.5, 2.5, 2.5

!lookat
0, 0, -1
